date_scanned,ticker,archetype,total_score,category_a,category_b,category_c,category_d,category_e,price_at_scan,pct_off_high_at_scan,a1_pctoffhigh,a2_rsi,a3_williams,a4_stochastic,a5_bollinger,a6_support,a7_peg_lt1,a8_cyclical_judgment,b9_mktcap,b10_grossmargin,b11_opmargin,b12_netmargin,b13_roe,b14_roa,b15_dividend,b16_epstrend,b17_leverage_judgment,c18_macd,c19_ema,c20_aroon,c21_adx,c22_relvol,c23_rsirecross,d24_epsbeat,d25_noearnings2wk,d26_tailwind_judgment,d27_catalyst_judgment,d28_pegroe_combo,e29_liquidity,e30_not_concentrated,e31_iv_extreme,e32_fitstyle_judgment,b33_domainleadership_judgment,outcome_1q,outcome_1y
2026-07-07,ORLA,compounder,N/A,N/A,N/A,N/A,N/A,N/A,9.91,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,UAN,compounder,N/A,N/A,N/A,N/A,N/A,N/A,115.5925,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,OGC,compounder,N/A,N/A,N/A,N/A,N/A,N/A,24.74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,VRT,compounder,26,N/A,13,N/A,9,4,302.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,2,3,2,N/A,N/A,2,5,,
2026-07-07,LEVI,compounder,20,N/A,13,N/A,4,3,24.78,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,2,N/A,N/A,1,2,,
2026-07-07,STNE,compounder,N/A,N/A,N/A,N/A,N/A,N/A,10.605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,WEX,compounder,20,N/A,12,N/A,5,3,151.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,1,2,,
2026-07-07,CHTR,compounder,18,N/A,11,N/A,4,3,137.7325,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,1,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,2,N/A,N/A,1,2,,
2026-07-07,IAG,compounder,N/A,N/A,N/A,N/A,N/A,N/A,16.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
2026-07-07,DRVN,compounder,19,N/A,12,N/A,5,2,15.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,1,N/A,N/A,1,2,,
2026-07-07,UAL,compounder,17,N/A,9,N/A,5,3,129.185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,0,2,N/A,3,1,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,1,2,,
2026-07-07,PDD,compounder,22,N/A,13,N/A,6,3,82.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,5,,
2026-07-07,CHDN,compounder,22,N/A,13,N/A,5,4,86.735,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,1,3,2,N/A,N/A,2,2,,
2026-07-07,FUTU,compounder,21,N/A,12,N/A,6,3,93.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,1,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,1,3,2,N/A,N/A,1,2,,
2026-07-07,CCL,compounder,22,N/A,12,N/A,7,3,26.878,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3,2,2,N/A,3,2,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,2,3,2,N/A,N/A,1,5,,
2026-07-07,CBL,compounder,N/A,N/A,N/A,N/A,N/A,N/A,53.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,,
