date_scanned,ticker,archetype,total_score,category_a,category_b,category_c,category_d,category_e,price_at_scan,pct_off_high_at_scan,outcome_1q,outcome_1y
2026-07-07,FIS,steady_value,16,,9,,4,3,,,,
2026-07-07,SBS,steady_value,14,,9,,2,3,,,,
2026-07-07,BCE,steady_value,14,,9,,2,3,,,,
2026-07-07,ULTA,steady_value,15,,9,,3,3,,,,
2026-07-07,PAAS,steady_value,14,,9,,2,3,,,,
2026-07-07,WIT,steady_value,16,,9,,4,3,,,,
2026-07-07,NVR,steady_value,14,,9,,2,3,,,,
2026-07-07,WES,steady_value,14,,9,,2,3,,,,
2026-07-07,THC,steady_value,15,,9,,3,3,,,,
2026-07-07,BR,steady_value,16,,9,,4,3,,,,
2026-07-07,GEN,steady_value,16,,9,,4,3,,,,
2026-07-07,HST,steady_value,15,,9,,3,3,,,,
2026-07-07,TOL,steady_value,14,,9,,2,3,,,,
2026-07-07,DECK,steady_value,14,,9,,2,3,,,,
2026-07-07,YUMC,steady_value,15,,9,,3,3,,,,
2026-07-07,PTC,steady_value,16,,9,,4,3,,,,
2026-07-07,MKC,steady_value,14,,9,,2,3,,,,
2026-07-07,CHKP,steady_value,16,,9,,4,3,,,,
2026-07-07,GIB,steady_value,16,,9,,4,3,,,,
2026-07-07,LDOS,steady_value,16,,9,,4,3,,,,
2026-07-07,LULU,steady_value,14,,9,,2,3,,,,
2026-07-07,AGI,steady_value,14,,9,,2,3,,,,
2026-07-07,GLPI,steady_value,15,,9,,3,3,,,,
2026-07-07,BF.A,steady_value,14,,9,,2,3,,,,
2026-07-07,GDDY,steady_value,16,,9,,4,3,,,,
2026-07-07,APA,steady_value,14,,9,,2,3,,,,
2026-07-07,SEIC,steady_value,15,,9,,3,3,,,,
2026-07-07,TIMB,steady_value,14,,9,,2,3,,,,
2026-07-07,AES,steady_value,14,,9,,2,3,,,,
2026-07-07,HBM,steady_value,14,,9,,2,3,,,,
